day,CO2,Flux,data/model
164,372,18.4,Data
164,552,23.0,Data
176,372,17.6,Data
176,552,25.9,Data
191,372,26.7,Data
191,552,32.0,Data
205,372,21.9,Data
205,552,28.0,Data
215,372,22.6,Data
215,552,30.4,Data
164,372,116.59273251197853,FBA
176,372,94.20610713329702,FBA
191,372,115.68012744783293,FBA
205,372,76.56217949740635,FBA
215,372,74.8507940554478,FBA
233,372,47.523941133186845,FBA
164,552,118.0616511136546,FBA
176,552,115.15816759357119,FBA
191,552,116.1943571756886,FBA
205,552,80.19104775124978,FBA
215,552,82.38529719457279,FBA
233,552,47.903834229882506,FBA
164,372,21.732190499999998,ODE
176,372,21.6556635,ODE
191,372,21.729225500000002,ODE
205,372,21.5831325,ODE
215,372,21.5769835,ODE
233,372,21.1100925,ODE
164,552,29.333087499999998,ODE
176,552,29.325504,ODE
191,552,29.328497,ODE
205,552,29.217658,ODE
215,552,29.225935,ODE
233,552,27.357222500000002,ODE
164,372,19.11141430238005,LC
176,372,19.19103422322909,LC
191,372,19.114863433080544,LC
205,372,19.242037846299585,LC
215,372,19.248504652320786,LC
233,372,18.99616682740709,LC
164,552,26.467468959634175,LC
176,552,26.484050173868923,LC
191,552,26.477845324028742,LC
205,552,26.65673612841913,LC
215,552,26.64870510067854,LC
233,552,25.149285801390583,LC
164,372,21.712747999999998,TC
176,372,21.635412499999997,TC
191,372,21.709139999999998,TC
205,372,21.561595999999998,TC
215,372,21.5531645,TC
233,372,20.954969,TC
164,552,29.293299499999996,TC
176,552,29.284585,TC
191,552,29.288525999999997,TC
205,552,29.187824500000005,TC
215,552,29.171605,TC
233,552,27.066926,TC
